text,label,text_clean
beanttragen hinweis hallo,Leave,beanttragen hinweis hallo
fuer bank antrag zugang hallo zeitnah,Admin,fuer bank antrag zugang hallo zeitnah
probezeit regelung system hinweis hallo info benoetigt,Time,probezeit regelung system hinweis hallo info benoetigt
kernarbeitszeiten konto konto guten tag unklar,Payroll,kernarbeitszeiten konto konto guten tag unklar
altersvorsorge erklaeren hinweis antrrag guten tag info benoetigt,Benefits,altersvorsorge erklaeren hinweis antrrag guten tag info benoetigt
urrlaub abgelehnt bestaetigung unklar bitte zeitnah,Leave,urrlaub abgelehnt bestaetigung unklar bitte zeitnah
abgelehnt konnto hinweis bitte,Leave,abgelehnt konnto hinweis bitte
abwesenheit nachtragen problem ticket danke,Leave,abwesenheit nachtragen problem ticket danke
steuerklasse aendern link system hallo info benoetigt,Admin,steuerklasse aendern link system hallo info benoetigt
abgelehnt antrag formular optional,Leave,abgelehnt antrag formular optional
jobrad formular antrag bitte info benoetigt,Leave,jobrad formular antrag bitte info benoetigt
abwwesenheit beantragen unklar konto hallo info benoetigt,Admin,abwwesenheit beantragen unklar konto hallo info benoetigt
fehlt maerz pruefen problem bitte info benoetigt,Payroll,fehlt maerz pruefen problem bitte info benoetigt
altersvorsorge erklaeren link ticket danke optional,Benefits,altersvorsorge erklaeren link ticket danke optional
erfassung fehler antrag antrag guten tag info benoetigt,Payroll,erfassung fehler antrag antrag guten tag info benoetigt
adressee aendern ticket formular bitte zeitnah,Admin,adressee aendern ticket formular bitte zeitnah
abwesenheit beantragen info hilfe danke dringend,Leave,abwesenheit beantragen info hilfe danke dringend
verlaengern formular bestaetigung bitte,Benefits,verlaengern formular bestaetigung bitte
erklaeren pruefen zugang danke unklar,Benefits,erklaeren pruefen zugang danke unklar
zulagen fehlen bestaetigung formular bitte,Payroll,zulagen fehlen bestaetigung formular bitte
nachtragen zugang link guten tag info beenoetigt,Leave,nachtragen zugang link guten tag info beenoetigt
jobrad bestaetigung syystem guten tag,Benefits,jobrad bestaetigung syystem guten tag
pause richtig buchen hinweis problem danke info benoetigt,Time,pause richtig buchen hinweis problem danke info benoetigt
restfrei uebertragen unklar konto guten tag unklar,Payroll,restfrei uebertragen unklar konto guten tag unklar
welche vorteil stehen mir zu info system,Benefits,welche vorteil stehen mir zu info system
verlaengern unklar konto hallo dringend,Benefits,verlaengern unklar konto hallo dringend
fehlt mai link hallo dringend,Payroll,fehlt mai link hallo dringend
vertrag kopie hilfe hallo optional,Admin,vertrag kopie hilfe hallo optional
steuerklasse aendern hinweis hinweis bitte info benoetigt,Payroll,steuerklasse aendern hinweis hinweis bitte info benoetigt
bank fuer abrechnung aendern vorgang hinweis halloo dringend,Leave,bank fuer abrechnung aendern vorgang hinweis halloo dringend
fuer bank pproblem zugang optional,Time,fuer bank pproblem zugang optional
fehlt dezember zugang system vielen dank unklar,Payroll,fehlt dezember zugang system vielen dank unklar
regelung hilfe pruefen vielen dank info benoetigt,Admin,regelung hilfe pruefen vielen dank info benoetigt
jobrad unklar guten tagg optional,Benefits,jobrad unklar guten tagg optional
ueberstunden abbuchen bestaetigung zugang bitte,Time,ueberstunden abbuchen bestaetigung zugang bitte
zeit fehler system formular dannke,Time,zeit fehler system formular dannke
probezeit regelung zuugang unklar danke unklar,Admin,probezeit regelung zuugang unklar danke unklar
tage abfragen hilfe problem guten tag optional,Leave,tage abfragen hilfe problem guten tag optional
probezeit regelung vorgang konto bitte dringend,Admin,probezeit regelung vorgang konto bitte dringend
fitnness link pruefen dringend,Benefits,fitnness link pruefen dringend
aendern problem hinwweis bitte optional,Payroll,aendern problem hinwweis bitte optional
unterlagen kopie hilfe danke optional,Admin,unterlagen kopie hilfe danke optional
beantragen ticket hillfe danke zeitnah,Leave,beantragen ticket hillfe danke zeitnah
urlaub abgelehnt ticket hinweis bitte innfo benoetigt,Time,urlaub abgelehnt ticket hinweis bitte innfo benoetigt
verlaengern system pruefen vielen ddank info benoetigt,Admin,verlaengern system pruefen vielen ddank info benoetigt
probezeit regelung unklarr bestaetigung vielen dank unklar,Admin,probezeit regelung unklarr bestaetigung vielen dank unklar
fehler formular unklar bitte optional,Time,fehler formular unklar bitte optional
aendern konto antrag dankke info benoetigt,Leave,aendern konto antrag dankke info benoetigt
vertrag verlaengern ticket konto hallo info benoetigt,Admin,vertrag verlaengern ticket konto hallo info benoetigt
beantragen bestaetigung antrag vielen dank dringend,Leave,beantragen bestaetigung antrag vielen dank dringend
nachtragen ticcket pruefen vielen dank,Leave,nachtragen ticcket pruefen vielen dank
